Risk Taking,Strength icon,0,The Shuuk icons with names_Risk taker.jpg
Risk Taking,Color,0,87A5D9
Risk Taking,Exercise,0,Play on the Fringes
Risk Taking,Exercise,1,Go in the Opposite Direction
Risk Taking,Action step,0,"<b>Be Fearless Big and Small.</b>  As a <color rgb='D3613F'>Risk Takers</color> your inclination is to go for the big ones. While that's great, make sure you are recognizing your small, daily risks that add up to big outcomes. The small risks are as important as the big ones to achieving your goals. "
Risk Taking,Action step,1,"<b>Bring the Risk To Life.</b> As a <color rgb='D3613F'>Risk Takers</color> you inspire others to leap outside their comfort zones. The more you get others to join you, the greater you are able to take those risks you love so much. Bring your risk taking actions to life on a white board, email them out to your team or create a visual map of all your risks and their outcomes. "
Risk Taking,Latent strength,0,"<color rgb='D3613F'>Risk Takers</color> leap into intimidating situations. Where others stop in their tracks, <color rgb='D3613F'>Risk Takers</color> delve in with full steam. As a Dormant Trigger, you may not always be as comfortable jumping into risky or uncomfortable situations. "
Risk Taking,How you add value,0,You push the innovation process forward and get people out of the dreaded box where innovation dies.
Risk Taking,How you add value,1,"While others get stuck at the stage-gates that require bold decisions and actions, you move quickly through them."
Risk Taking,How you add value,2,"Your fearless nature means you are willing to take more leaps of faith, and pursue unproven yet high potential work."
Risk Taking,How you add value,3,"Your willingness to take smart risks means you are more likely to pursue bolder, more innovative ideas that have the potential for greater impact."
Risk Taking,You at your peak,0,<color rgb='D3613F'>Risk Takers</color> have a pioneering spirit that is willing to take courageous actions. When called upon to do something adventurous you are the first to jump in.
Risk Taking,You at your peak,1,You have a high tolerance for risk and even seek out seemingly intimidating situations.
Risk Taking,You at your peak,2,"Because of your willingness to put yourself out there, you often seek out new people and experiences."
Risk Taking,You at your peak,3,"The thrill of taking the risk is as invigorating as the success it could produce. To <color rgb='D3613F'>Risk Takers</color>, every moment is an opportunity to reach for higher goals."
Risk Taking,Strength and style,0,Audacious
Risk Taking,Strength and style,1,Fearless
Collaborative,Strength icon,0,The Shuuk icons with names_Collaborative.jpg
Collaborative,Color,0,CC827D
Collaborative,Exercise,0,Idea-Cache
Collaborative,Exercise,1,Airplane
Collaborative,Action step,0,"<b>Spontaneous Collaboration.</b> Add more impromptu moments of collaboration to your day. Put up a white board outside your office with a question and ask people to mind-map off of it, sit with strangers in the cafeteria or pull together a last minute group for a walk and talk around the block. Make collaboration happen beyond the meeting room."
Collaborative,Action step,1,"<b>Build a Team.</b> Whether you work solo or in a company, find more avenues for building informal teams for your projects. You are at your best when there are others involved so even on your solo projects it's important to have comrades to help."
Collaborative,Latent strength,0,<color rgb='D3613F'>Collaboratives</color> have an enticing style that draws people to their work and vision. Those with <color rgb='D3613F'>Collaborative</color> as a Dormant Trigger may gravitate towards solo work or prefer to manage versus collaborate with others. 
Collaborative,How you add value,0,"<color rgb='D3613F'>Collaboratives</color> are constantly tapping into disparate people and ideas, creating  intersections of random where innovation thrives"
Collaborative,How you add value,1,"You create space for many 'aha' moments in a day, leading to more innovative ideas on a regular basis."
Collaborative,How you add value,2,<color rgb='D3613F'>Collaboratives</color> like you also help the innovation process by getting others excited and motivated to drive new ideas forward
Collaborative,How you add value,3,More of your ideas get pushed forward because you gathered input and buy-in along the way.
Collaborative,You at your peak,0,"<color rgb='D3613F'>Collaboratives</color> have an enticing style that draws people to your work and vision. Thanks to your magnetic approach, others are eager to try new things and take risks if you are at the helm."
Collaborative,You at your peak,1,"You have a keen ability to gather the right team and get buy-in as you drive new thinking, ensuring a higher chance of action on the back end."
Collaborative,You at your peak,2,"You recognize that no one person has a fully formed idea and choose to engage others as a way to inform and push your own thinking forward, creating more complete, holistic solutions."
Collaborative,You at your peak,3,Others willingly lend you their thinking and hence help you turn more novel ideas into fully formed opportunities.
Collaborative,Strength and style,0,Magnetic
Collaborative,Strength and style,1,Inclusive
Futuristic,Strength icon,0,The Shuuk icons with names_Futuristic.jpg
Futuristic,Color,0,C3D789
Futuristic,Exercise,0,Smash
Futuristic,Exercise,1,Look Four Ways
Futuristic,Action step,0,"<b>One-Hour To The Future.</b> Add daydreaming or thinking about possiblities to your calendar. Don't leave it up to chance.  Some call it mindless daydreaming but good planning and ideas start with a dream. You'll find the other hours of your day to be more productive and future driven, too."
Futuristic,Action step,1,"<b>Use Futuristic Language.</b> Even when you are working on current tasks, use language like 'what if', 'how could' and 'when we'. Your brain will fire up those future thinking synapses."
Futuristic,Latent strength,0,"<color rgb='D3613F'>Futuristics</color> are on the leading edge of things, always looking for what's next. As a Dormant Trigger you may find it easier to focus on the present or even the past. "
Futuristic,How you add value,0,"As a <color rgb='D3613F'>Futuristic</color> you recognize that some of the most innovative ideas are based not in solving a problem of today, but in creating a new behavior or opportunity for tomorrow."
Futuristic,How you add value,1,You push yourself and those around you to look ahead and take a longer view of the task at hand. This helps drive ideas that are more innovative and less short-sighted and reactionary.
Futuristic,How you add value,2,"Thanks to your ability to see clearly through binoculars into the distance, you create more space for lasting innovation with impact."
Futuristic,How you add value,3,Your future-driven bent means you help everyone see the forest through the trees and not get hung up on the little things.
Futuristic,You at your peak,0,"<color rgb='D3613F'>Futuristics</color> are on the leading edge of things, always looking for what's next. As a pioneering spirit you seek never-been-done ideas that will change business as it is today."
Futuristic,You at your peak,1,"While the past and present are relevant, you get energized by thinking about 'tomorrowland' and what's possible."
Futuristic,You at your peak,2,"You often jump ahead of your colleagues, anticipating what's next while they are still working on the current."
Futuristic,You at your peak,3,"You like to live in the world of possibilities and often find it a drag when people want to take your thinking to the past. Futuristics are like magic 8-balls, seeking to answer the questions about 'what will happen' and 'what could be'."
Futuristic,Strength and style,0,Pioneering
Futuristic,Strength and style,1,Fresh
Imaginative,Strength icon,0,The Shuuk icons with names_Imaginative.jpg
Imaginative,Color,0,A595C6
Imaginative,Exercise,0,Pull-Apart
Imaginative,Exercise,1,Throw Away Ideas
Imaginative,Action step,0,"<b>Remove the Facts.</b>  When being presented with information in order to make a decision or give feedback, ask that the other person start by only giving you the top 5 most important pieces of data. Then stop and ideate, letting your imagination kick into high gear and fill in the gaps. Then, ask for five more pieces of data and repeat until done. Too much data at once will squelch your imagination."
Imaginative,Action step,1,"<b>Talk in Analogies.</b> Because many of your ideas are new-to-the-world it is sometimes hard for others to follow along. Give them a mental anchor that will help your innovative ideas get accepted. Use an analogy from another category (movies, retail, etc.) so they have something familiar to hold on to."
Imaginative,Latent strength,0,<color rgb='D3613F'>Imaginatives</color> have vivid imaginations that are always running and creating new things. As a Dormant Trigger you may find that you gravitate towards seeking out the facts and experiences that have already happened first. 
